Page,Key,English,Arabic (Current),Arabic (Corrected),Notes
contactSales,formSub,Fill out the form below and our team will get back to you within 24 hours with a personalized recommendation.,املأ النموذج أدناه وسيتواصل معك فريقنا خلال 24 ساعة بتوصية مخصّصة لمشروعك.,,
contactSales,formTitle,Start the Conversation,ابدأ الحوار,,
contactSales,heroBadge,Let's Talk,لنتحدث,,
contactSales,heroSub,"Whether you're launching a tower, running a brokerage, or scaling across a portfolio — we'll design a VIP buyer experience pilot matched to your project.",سواء كنتَ تُطلق برجًا سكنيًا، أو تُدير شركة وساطة عقارية، أو تتوسّع عبر محفظة مشاريع — سنصمّم لك تجربة مشترٍ حصرية تجريبية تتناسب مع مشروعك.,,
contactSales,heroTitle,Tell Us What You're Building. We'll Show You How to Sell It Faster.,أخبرنا بما تبنيه، وسنُريك كيف تبيعه بشكلٍ أسرع.,,
contactSales,industryOpts,"Pre-Construction / New Development | Luxury Resale | Brokerage / Team | Master-Planned Community | Branded Residences | Mixed-Use Development | Commercial Real Estate | Other","مشاريع ما قبل البناء / التطوير الجديد | إعادة بيع العقارات الفاخرة | شركة وساطة / فريق مبيعات | مجتمع سكني متكامل التخطيط | مساكن تحمل علامات تجارية مرموقة | تطوير متعدّد الاستخدامات | العقارات التجارية | أخرى",,
contactSales,industryPlaceholder,Select focus,اختر القطاع,,
contactSales,lblBudget,Pilot Budget Range,نطاق ميزانية التجربة,,
contactSales,lblChallenge,Primary Challenge,التحدي الرئيسي,,
contactSales,lblCity,City / Market,المدينة / السوق,,
contactSales,lblCompany,Company / Brokerage,الشركة / الوساطة العقارية,,
contactSales,lblEmail,Email,البريد الإلكتروني,,
contactSales,lblIndustry,Industry Focus,القطاع المتخصّص,,
contactSales,lblName,Full Name,الاسم الكامل,,
contactSales,lblNotes,Anything else we should know?,هل هناك ما تودّ إضافته؟,,
contactSales,lblNotesPlaceholder,"Tell us about your current sales process, buyer list, goals, or questions...",أخبرنا عن آلية المبيعات الحالية لديك، وقائمة المشترين المحتملين، وأهدافك، أو أيّ استفسارات أخرى...,,
contactSales,lblPhone,Phone,رقم الهاتف,,
contactSales,lblProjectName,Project or Campaign Name,اسم المشروع أو الحملة,,
contactSales,lblProjectType,Project Type,نوع المشروع,,
contactSales,lblRole,Your Role,المسمّى الوظيفي,,
contactSales,lblTeamSize,Team Size,حجم الفريق,,
contactSales,lblTimeline,Target Launch,الموعد المستهدف للإطلاق,,
contactSales,lblUnits,Total Units / Listings,إجمالي الوحدات / العقارات,,
contactSales,projectOpts,"Residential Tower | Luxury Resale ($2M+) | Master-Planned Community | Branded Residences | Brokerage VIP Campaign | Mixed-Use Development | Commercial | Other","برج سكني | إعادة بيع فاخر (أكثر من 2 مليون دولار) | مجتمع سكني متكامل التخطيط | مساكن تحمل علامات تجارية مرموقة | حملة حصرية لعملاء VIP عبر الوساطة | تطوير متعدّد الاستخدامات | عقارات تجارية | أخرى",,
contactSales,projectPlaceholder,Select type,اختر النوع,,
contactSales,roleOpts,"VP of Sales | Director of Sales | Sales Manager | Broker / Owner | Marketing Director | CEO / Chairman | General Manager | Agent / Team Lead | Other","نائب الرئيس للمبيعات | مدير إدارة المبيعات | مدير مبيعات | وسيط عقاري / مالك | مدير التسويق | الرئيس التنفيذي / رئيس مجلس الإدارة | المدير العام | وكيل عقاري / قائد فريق | أخرى",,
contactSales,rolePlaceholder,Select role,اختر المسمّى الوظيفي,,
contactSales,sec1,Contact Information,معلومات التواصل,,
contactSales,sec2,About Your Business,عن نشاطك التجاري,,
contactSales,sec3,Your Project,تفاصيل مشروعك,,
contactSales,sec4,What's Your Biggest Sales Challenge?,ما أبرز تحدٍّ تواجهه في المبيعات؟,,
contactSales,side1Desc,"Our team reviews your submission and matches you with the right specialist — developers, brokerages, or luxury teams.",يراجع فريقنا طلبك ويوجّهك إلى المختصّ المناسب — سواء في مجال التطوير العقاري، أو الوساطة، أو الفرق المتخصّصة بالعقارات الفاخرة.,,
contactSales,side1Title,We Review,المراجعة,,
contactSales,side2Desc,"A 20-minute call to understand your sales process, buyer profiles, and project goals. No pitch — just questions.",مكالمة مدّتها 20 دقيقة لفهم آلية المبيعات لديك، وملفّات المشترين، وأهداف المشروع. لا عروض ترويجية — فقط أسئلة.,,
contactSales,side2Title,Discovery Call,مكالمة استكشافية,,
contactSales,side3Desc,"Within 48 hours, you receive a tailored pilot plan — portal design, VIP Access Key count, timeline, and pricing.",خلال 48 ساعة، تتلقّى خطة تجريبية مفصّلة تشمل تصميم البوابة الرقمية، وعدد مفاتيح الوصول الحصرية، والجدول الزمني، والتسعير.,,
contactSales,side3Title,Custom Proposal,عرض مخصّص,,
contactSales,side4Desc,2–4 weeks from approval to first cards in the hands of your VIP prospects.,من أسبوعين إلى أربعة أسابيع من الموافقة حتى وصول أولى البطاقات إلى أيدي عملائك المميّزين.,,
contactSales,side4Title,Launch,الإطلاق,,
contactSales,sideQuote,"""You are not handing out NFC cards. You are issuing private invitations — and turning digital intent into real sales momentum.""","""أنتَ لا توزّع بطاقات NFC. أنتَ تُصدر دعوات خاصة — وتحوّل النيّة الرقمية إلى زخمٍ حقيقي في المبيعات.""",,
contactSales,sideTitle,What Happens Next?,ماذا يحدث بعد ذلك؟,,
contactSales,submitInquiry,Submit Inquiry →,إرسال الاستفسار ←,,
contactSales,submitting,Submitting...,جارٍ الإرسال...,,
contactSales,successAnother,Submit Another Inquiry,إرسال استفسار آخر,,
contactSales,successBack,← Back to Home,→ العودة إلى الصفحة الرئيسية,,
contactSales,successDesc,Thank you. Our sales team will review your details and reach out within 24 hours with a personalized pilot recommendation.,شكرًا لك. سيراجع فريق المبيعات لدينا التفاصيل التي قدّمتها، وسيتواصل معك خلال 24 ساعة بتوصية تجريبية مخصّصة.,,
contactSales,successTitle,Inquiry Submitted,تم إرسال الاستفسار بنجاح,,
contactSales,teamOpts,"Just me | 2 – 10 | 11 – 50 | 50 – 200 | 200+","شخص واحد | 2 – 10 | 11 – 50 | 50 – 200 | +200",,
contactSales,teamPlaceholder,Select,اختر,,
contactSales,timelineOpts,"Immediately | 1 – 3 months | 3 – 6 months | 6+ months | Just exploring","فورًا | من شهر إلى 3 أشهر | من 3 إلى 6 أشهر | أكثر من 6 أشهر | أستكشف الخيارات حاليًا",,
contactSales,timelinePlaceholder,Select timeline,اختر الإطار الزمني,,
contactSales,trust1,24hr Response,استجابة خلال 24 ساعة,,
contactSales,trust2,No Commitment,بدون أيّ التزام,,
contactSales,trust3,Custom Pilot Design,تصميم تجريبي مخصّص,,
contactSales,trust4,NDA Available,اتفاقية سرية متاحة,,
contactSales,unitsOpts,"Under 50 | 50 – 200 | 200 – 500 | 500 – 2,000 | 2,000+ | N/A","أقل من 50 | 50 – 200 | 200 – 500 | 500 – 2,000 | +2,000 | لا ينطبق",,
contactSales,unitsPlaceholder,Select range,اختر النطاق,,
createPhysicalCard,aboutP1,DynamicNFC digital business card combines professional presence with advanced digital technology in one seamless solution.,تجمع بطاقة DynamicNFC الرقمية بين الحضور المهني الراقي والتقنية الرقمية المتقدمة في حلٍّ واحد متكامل.,,
createPhysicalCard,aboutP2,"With NFC and QR code support, DynamicNFC enables instant sharing at events, corporate meetings, and networking environments.",بفضل دعم تقنيتَي NFC وQR، تتيح بطاقة DynamicNFC مشاركة بياناتك فوريًا في الفعاليات والاجتماعات المهنية وبيئات التواصل.,,
createPhysicalCard,aboutP3,DynamicNFC is an AI-powered digital business card platform developed in Canada.,DynamicNFC منصة بطاقات أعمال رقمية مدعومة بالذكاء الاصطناعي، طُوِّرت في كندا.,,
createPhysicalCard,aboutProduct,About Product,عن المنتج,,
createPhysicalCard,aboutTitle,DynamicNFC Digital Business Card with Durable and Prestigious Representation,بطاقة DynamicNFC الرقمية — حضور مهني متين وفاخر,,
createPhysicalCard,aiPlatform,AI-Powered Platform,منصة مدعومة بالذكاء الاصطناعي,,
createPhysicalCard,aiPlatformDesc,Real-time analytics and smart contact management.,تحليلات لحظية وإدارة ذكية لجهات الاتصال.,,
createPhysicalCard,badge,Create Your Card,صمّم بطاقتك,,
createPhysicalCard,card24k,24K Gold Digital Business Card,بطاقة أعمال رقمية من ذهب عيار ٢٤,,
createPhysicalCard,cardBamboo,Bambu Digital Business Card,بطاقة أعمال رقمية من الخيزران,,
createPhysicalCard,cardBlack,Black Digital Business Card,بطاقة أعمال رقمية سوداء,,
createPhysicalCard,cardDetails,Card Details,تفاصيل البطاقة,,
createPhysicalCard,cardGolden,Golden Digital Business Card,بطاقة أعمال رقمية ذهبية,,
createPhysicalCard,cardMetalBlack,Metal Black Digital Business Card,بطاقة أعمال رقمية معدنية سوداء,,
createPhysicalCard,cardMetalGold,Metal Golden Digital Business Card,بطاقة أعمال رقمية معدنية ذهبية,,
createPhysicalCard,cardMetalSilver,Metal Silver Digital Business Card,بطاقة أعمال رقمية معدنية فضية,,
createPhysicalCard,cardRoseGold,Metal Rose Gold Digital Business Card,بطاقة أعمال رقمية بلون الذهب الوردي,,
createPhysicalCard,cardSilver,Silver Digital Business Card,بطاقة أعمال رقمية فضية,,
createPhysicalCard,cardTransparent,Transparent PVC Digital Business Card,بطاقة أعمال رقمية شفافة من PVC,,
createPhysicalCard,cardWhite,White Digital Business Card,بطاقة أعمال رقمية بيضاء,,
createPhysicalCard,cardWood,Wooden Digital Business Card,بطاقة أعمال رقمية من خشب الجوز,,
createPhysicalCard,chooseCard,Choose Your Card,اختر بطاقتك,,
createPhysicalCard,clickUpload,Click to upload,انقر للرفع,,
createPhysicalCard,collection,Collection,المجموعة,,
createPhysicalCard,continueBtn,Continue,متابعة,,
createPhysicalCard,customQR,Custom QR Code,رمز QR مخصص,,
createPhysicalCard,customQRDesc,Encoded QR code printed on the card front. Scannable by any camera.,رمز QR مُرمَّز ومطبوع على واجهة البطاقة، يمكن مسحه ضوئيًا بأي كاميرا.,,
createPhysicalCard,enterName,Enter your name,أدخل اسمك,,
createPhysicalCard,fileFormats,"Formats: SVG, PNG, JPG, PDF — appears on both sides.",الصيغ المدعومة: SVG وPNG وJPG وPDF — يظهر الشعار على كلا الوجهين.,,
createPhysicalCard,flipToBack,Tap card to see back side,انقر على البطاقة لرؤية الوجه الخلفي,,
createPhysicalCard,flipToFront,Tap card again to see front,انقر مجددًا لرؤية الوجه الأمامي,,
createPhysicalCard,footerText,AI-Powered Digital Business Cards. Developed in Canada.,بطاقات أعمال رقمية مدعومة بالذكاء الاصطناعي. طُوِّرت في كندا.,,
createPhysicalCard,formSubtitle,Enter your information below. Your card will be printed and shipped with NFC & QR enabled.,أدخل بياناتك أدناه. ستُطبع بطاقتك وتُشحن مزوّدة بتقنيتَي NFC وQR.,,
createPhysicalCard,freeShipping,Free Shipping,شحن مجاني,,
createPhysicalCard,fullName,Full Name,الاسم الكامل,,
createPhysicalCard,inqCallSales,Contact Sales,تواصل مع المبيعات,,
createPhysicalCard,inqCardType,Card Type,نوع البطاقة,,
createPhysicalCard,inqClose,Close,إغلاق,,
createPhysicalCard,inqCompany,Company / Organization,الشركة / المؤسسة,,
createPhysicalCard,inqDesignSummary,Your Design,تصميمك,,
createPhysicalCard,inqEmail,Business Email,البريد الإلكتروني المهني,,
createPhysicalCard,inqMinNote,"Minimum order: 25 cards. Custom NFC encoding, premium packaging, worldwide shipping included.",الحد الأدنى للطلب: ٢٥ بطاقة. يشمل الطلب ترميز NFC مخصصًا وتغليفًا فاخرًا وشحنًا دوليًا.,,
createPhysicalCard,inqNotes,Additional Notes,ملاحظات إضافية,,
createPhysicalCard,inqNotesHint,"Departments, roles, special encoding, branding requirements...",الأقسام، والمسمّيات الوظيفية، وترميز خاص، ومتطلبات الهوية البصرية...,,
createPhysicalCard,inqOrSales,Or talk to our team directly:,أو تحدّث مع فريقنا مباشرةً:,,
createPhysicalCard,inqPhone,Phone (optional),رقم الهاتف (اختياري),,
createPhysicalCard,inqQrLink,QR Link,رابط QR,,
createPhysicalCard,inqQty100,100–249,١٠٠–٢٤٩,,
createPhysicalCard,inqQty25,25–49,٢٥–٤٩,,
createPhysicalCard,inqQty250,250+,٢٥٠+,,
createPhysicalCard,inqQty50,50–99,٥٠–٩٩,,
createPhysicalCard,inqQuantity,How Many Cards?,كم عدد البطاقات المطلوبة؟,,
createPhysicalCard,inqSub,DynamicNFC cards are built for teams and enterprises. Tell us about your order and we'll prepare a custom quote.,بطاقات DynamicNFC مصمَّمة للفرق والمؤسسات. أخبرنا بتفاصيل طلبك وسنُعِدّ لك عرض سعر مخصصًا.,,
createPhysicalCard,inqSubmit,Request Bulk Quote →,طلب عرض سعر جماعي ←,,
createPhysicalCard,inqSubmitting,Submitting...,جارٍ الإرسال...,,
createPhysicalCard,inqSuccess,Quote Request Sent!,تم إرسال طلب عرض السعر!,,
createPhysicalCard,inqSuccessDesc,Our enterprise team will prepare a custom quote based on your design and volume. Expect a response within 24 hours.,سيُعِدّ فريق المؤسسات عرض سعر مخصصًا بناءً على تصميمك والكمية المطلوبة. يُتوقَّع الرد خلال ٢٤ ساعة.,,
createPhysicalCard,inqTitle,Love Your Design? Let's Scale It.,أعجبك التصميم؟ لنوسّعه لفريقك.,,
createPhysicalCard,logout,Logout,تسجيل الخروج,,
createPhysicalCard,matEco,Eco,طبيعي,,
createPhysicalCard,matMetal,Metal,معدن,,
createPhysicalCard,matPVC,PVC,PVC,,
createPhysicalCard,materialFinish,Material & Finish,الخامة والتشطيب,,
createPhysicalCard,nameHint,Will appear on the front of the card.,سيظهر على الوجه الأمامي للبطاقة.,,
createPhysicalCard,namePlaceholder,Name Surname,الاسم الكامل,,
createPhysicalCard,nfcChip,NFC Chip (NTAG 216),شريحة NFC (NTAG 216),,
createPhysicalCard,nfcChipDesc,High-frequency 13.56 MHz contactless chip. One-tap instant sharing.,شريحة لاتلامسية عالية التردد بمعدل 13.56 ميغاهرتز. مشاركة فورية بلمسة واحدة.,,
createPhysicalCard,nfcEnabled,NFC Enabled,تقنية NFC مُفعَّلة,,
createPhysicalCard,nfcQr,NFC + QR,NFC + QR,,
createPhysicalCard,noAppRequired,No App Required,لا يتطلب تطبيقًا,,
createPhysicalCard,orDragDrop,or drag & drop,أو اسحب وأفلت,,
createPhysicalCard,pageSubtitle,"Choose your card material and style, then personalize with your name, logo, and QR link.",اختر خامة بطاقتك وتصميمها، ثم خصّصها باسمك وشعارك ورابط QR.,,
createPhysicalCard,pageTitle,Design Your NFC Card,صمّم بطاقتك الرقمية NFC,,
createPhysicalCard,premiumMaterials,Premium Materials,خامات فاخرة,,
createPhysicalCard,premiumMaterialsDesc,"PVC, brushed metal, 24K gold, bamboo, and wood. ISO 7810 standard.",PVC ومعدن مصقول وذهب عيار ٢٤ وخيزران وخشب الجوز. متوافقة مع معيار ISO 7810.,,
createPhysicalCard,qrCodeLink,QR Code Link,رابط رمز QR,,
createPhysicalCard,qrIncluded,QR Included,رمز QR مُضمَّن,,
createPhysicalCard,securePrivate,Secure & Private,أمان وخصوصية,,
createPhysicalCard,securePrivateDesc,Encrypted servers in Canada. GDPR and CCPA compliant.,خوادم مشفَّرة في كندا. متوافقة مع معايير GDPR وCCPA.,,
createPhysicalCard,short24k,24K Gold,ذهب ٢٤,,
createPhysicalCard,shortBamboo,Bamboo,خيزران,,
createPhysicalCard,shortBlack,Black,أسود,,
createPhysicalCard,shortGolden,Golden,ذهبي,,
createPhysicalCard,shortMetalBlack,Metal Black,معدن أسود,,
createPhysicalCard,shortMetalGold,Metal Gold,معدن ذهبي,,
createPhysicalCard,shortMetalSilver,Metal Silver,معدن فضي,,
createPhysicalCard,shortRoseGold,Rose Gold,ذهبي وردي,,
createPhysicalCard,shortSilver,Silver,فضي,,
createPhysicalCard,shortTransparent,Transparent,شفاف,,
createPhysicalCard,shortWhite,White,أبيض,,
createPhysicalCard,shortWood,Walnut,جوز,,
createPhysicalCard,techFeatures,Technical Features,المواصفات التقنية,,
createPhysicalCard,universalCompat,Universal Compatibility,توافق شامل,,
createPhysicalCard,universalCompatDesc,"iPhone XS+, all Android, any QR scanner. No app required.",تعمل مع iPhone XS والأحدث وجميع أجهزة Android وأي قارئ QR. لا تتطلب تطبيقًا.,,
createPhysicalCard,uploadLogo,Upload Logo,رفع الشعار,,
createPhysicalCard,uploadLogoBack,Upload a logo to see it here,ارفع شعارك ليظهر هنا,,
createPhysicalCard,urlError,Please enter a valid web link,يُرجى إدخال رابط إلكتروني صالح,,
createPhysicalCard,urlHint,This URL will be encoded as a QR code on your card.,سيُرمَّز هذا الرابط على هيئة رمز QR على بطاقتك.,,
createPhysicalCard,urlPlaceholder,https://yourwebsite.com,https://yourwebsite.com,,
createPhysicalCard,yourLogo,Your Logo,شعارك,,
createPhysicalCard,yourWebsite,your website or profile,موقعك الإلكتروني أو ملفك التعريفي,,
developers,chall1Desc,Thousands visit your project website. You see page views — but you don't know if that visitor is a $5M investor or a casual browser.,آلاف الزوّار يتصفّحون موقع المشروع. ترون أرقام الزيارات — لكنكم لا تعرفون إن كان الزائر مستثمراً بملايين الدولارات أم متصفّحاً عابراً.,,
developers,chall1Icon,👥,👥,,
developers,chall1Title,Anonymous Traffic,زيارات مجهولة الهوية,,
developers,chall2Desc,"By the time your sales team reaches out, the buyer has cooled off. The window between peak interest and first contact is too wide.",بحلول الوقت الذي يتواصل فيه فريق المبيعات، يكون المشتري قد فقد حماسه. الفجوة الزمنية بين ذروة الاهتمام وأول تواصل واسعة جداً.,,
developers,chall2Icon,🕐,🕐,,
developers,chall2Title,Delayed Follow-Up,تأخّر في المتابعة,,
developers,chall3Desc,"Every buyer gets the same brochure, the same tour, the same call script. A penthouse investor and a first-time family buyer hear the same pitch.",كل مشترٍ يحصل على الكتيّب ذاته، والجولة ذاتها، والنص ذاته. مستثمر البنتهاوس والمشتري المبتدئ يسمعان العرض نفسه.,,
developers,chall3Icon,📋,📋,,
developers,chall3Title,Generic Outreach,تواصل نمطي,,
developers,challLabel,The Blind Spot,النقطة العمياء,,
developers,challQuote,"Your highest-intent buyers spend weeks exploring floor plans, pricing, and payment options on your project website. Yet when your sales team picks up the phone, they lack one critical thing: <strong>context</strong>. They don't know who is ready, what they care about most, or when to act. This leads to delayed follow-ups, generic conversations, and missed momentum.",يقضي المشترون الأكثر اهتماماً أسابيع في استكشاف المخططات الطابقية والأسعار وخيارات السداد على موقع مشروعكم. ومع ذلك، حين يرفع فريق المبيعات سمّاعة الهاتف، ينقصه عنصر حاسم واحد: <strong>السياق</strong>. لا يعرفون من المستعد للشراء، ولا ما يهمّه أكثر، ولا متى ينبغي التحرّك. والنتيجة: متابعات متأخرة، ومحادثات نمطية، وفُرص ضائعة.,,
developers,challTitle,Your Buyers Are Ready. Your Sales Team Doesn't Know It.,المشترون جاهزون. لكنّ فريق مبيعاتكم لا يعلم بذلك.,,
developers,ctaDemo,See the Live Demo,شاهدوا العرض الحي,,
developers,ctaDesc,Turn digital intent into real sales momentum. Start with one project and 100 VIP Access Keys. Measure the difference in booked viewings. Then scale to your portfolio.,حوّلوا النية الرقمية إلى زخم مبيعات حقيقي. ابدأوا بمشروع واحد ومئة مفتاح وصول VIP. قيسوا الفرق في المعاينات المحجوزة. ثم توسّعوا عبر محفظتكم.,,
developers,ctaLabel,Ready to Deploy,جاهزون للنشر,,
developers,ctaPilot,Start a Pilot Program →,ابدأوا البرنامج التجريبي ←,,
developers,ctaTitle,You're Not Handing Out Cards. You're Issuing Private Invitations.,أنتم لا توزّعون بطاقات. أنتم تُصدرون دعوات خاصة.,,
developers,demoBadge1,★ VIP Investor,★ مستثمر VIP,,
developers,demoBadge2,🏠 Family Buyer,🏠 مشترٍ عائلي,,
developers,demoBadge3,🌐 Public Access,🌐 وصول عام,,
developers,demoBadge4,📊 Analytics,📊 التحليلات,,
developers,demoCard1Desc,"Elite investor experience — ROI-focused content, high-floor penthouse showcases, investment analytics dashboard.",تجربة مستثمر نخبوية — محتوى يركّز على العائد الاستثماري، واستعراض وحدات البنتهاوس في الطوابق العليا، ولوحة تحليلات استثمارية.,,
developers,demoCard1Title,Khalid Al-Rashid — Investor Portal,خالد الراشد — بوابة المستثمر,,
developers,demoCard2Desc,"Family buyer experience — 3BR units, school districts, parks, community amenities, family-friendly payment plans.",تجربة المشتري العائلي — وحدات بثلاث غرف نوم، والمدارس المجاورة، والحدائق، ومرافق المجتمع، وخطط سداد ملائمة للعائلات.,,
developers,demoCard2Title,Ahmed Al-Fahad — Family Portal,أحمد الفهد — بوابة المشتري العائلي,,
developers,demoCard3Desc,Anonymous browsing with progressive lead capture — how public visitors become known buyers over time.,تصفّح مجهول الهوية مع التقاط تدريجي للعملاء المحتملين — كيف يتحوّل الزوّار المجهولون إلى مشترين معرّفين بمرور الوقت.,,
developers,demoCard3Title,Global Marketplace,السوق العالمي,,
developers,demoCard4Desc,"Internal behavioral analytics — real-time engagement, lead scoring, behavior tracking, and conversion funnels.",تحليلات سلوكية داخلية — تفاعل لحظي، وتصنيف العملاء المحتملين، وتتبّع السلوك، وقمع التحويل.,,
developers,demoCard4Title,Corporate Dashboard,لوحة تحكّم الشركة,,
developers,demoCta,Visit Full Demo Environment →,زوروا بيئة العرض الكاملة ←,,
developers,demoDesc,Explore a working demo built for a fictional luxury tower project. See how different buyer profiles receive completely different experiences from the same platform.,استكشفوا عرضاً حياً مبنياً لمشروع برج فاخر افتراضي. شاهدوا كيف تحصل ملفات مشترين مختلفة على تجارب مختلفة كلياً من المنصة ذاتها.,,
developers,demoLabel,Live Demo,عرض حي,,
developers,demoTitle,See It In Action — Vista Residences,شاهدوه عملياً — فيستا ريزيدنسز,,
developers,diffAnonDesc,"We learn at a segment level and optimize marketing. Which floor plans get the most attention? What price range drives downloads? Same website, same actions — but different intelligence that drives different decisions.",نتعلّم على مستوى الشريحة ونُحسّن الاستراتيجية التسويقية. أيّ المخططات تستقطب الاهتمام الأكبر؟ أيّ نطاق سعري يحفّز التحميلات؟ الموقع ذاته، والإجراءات ذاتها — لكنّ ذكاءً مختلفاً يقود قرارات مختلفة.,,
developers,diffAnonTitle,Public Visitor (Anonymous),زائر عام (مجهول الهوية),,
developers,diffDesc,"Inside the experience, buyers are free to do whatever they want — book a viewing, request pricing, explore payment plans, download brochures. There is no forced funnel. The only difference is identity.",داخل التجربة، المشترون أحرار في فعل ما يشاؤون — حجز معاينة، أو طلب أسعار، أو استكشاف خطط السداد، أو تحميل الكتيّبات. لا قمع إجباري. الفرق الوحيد هو الهوية.,,
developers,diffLabel,The Key Difference,الفرق الجوهري,,
developers,diffTitle,Same Website. Same Actions. Different Intelligence.,الموقع ذاته. الإجراءات ذاتها. ذكاء مختلف.,,
developers,diffVipDesc,"We know who they are. That enables personal follow-ups, tailored incentives, and concierge-level sales. Your team calls with context: ""I see you've been looking at 2BR units on floors 30-40 with city views — we have two left at the pre-launch price.""","نعرف من هم. وهذا يُتيح متابعات شخصية، وحوافز مخصّصة، ومبيعات على مستوى الكونسيرج. يتّصل فريقكم بسياق كامل: ""ألاحظ أنكم تستعرضون وحدات بغرفتَي نوم في الطوابق ٣٠–٤٠ بإطلالة على المدينة — لدينا وحدتان متبقّيتان بسعر ما قبل الإطلاق.""",,
developers,diffVipTitle,VIP Buyer (Known Identity),مشتري VIP (هوية معروفة),,
